name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Maruti 800 AC,2007,3000,70000,Petrol,Individual,Manual,First Owner
Maruti Wagon R LXI Minor,2007,6750,50000,Petrol,Individual,Manual,First Owner
Hyundai Verna 1.6 SX,2012,30000,100000,Diesel,Individual,Manual,First Owner
Datsun RediGO T Option,2017,12500,46000,Petrol,Individual,Manual,First Owner
Honda Amaze VX i-DTEC,2014,22500,141000,Diesel,Individual,Manual,Second Owner
Maruti Alto LX BSIII,2007,7000,125000,Petrol,Individual,Manual,First Owner
Hyundai Xcent 1.2 Kappa S,2016,27500,25000,Petrol,Individual,Manual,First Owner
Tata Indigo Grand Petrol,2014,12000,60000,Petrol,Individual,Manual,Second Owner
Hyundai Creta 1.6 VTVT S,2015,42500,25000,Petrol,Individual,Manual,First Owner
Maruti Celerio Green VXI,2017,18250,78000,CNG,Individual,Manual,First Owner
Chevrolet Sail 1.2 Base,2015,13000,35000,Petrol,Individual,Manual,First Owner
Tata Indigo Grand Petrol,2014,12500,100000,Petrol,Individual,Manual,First Owner
Toyota Corolla Altis 1.8 VL CVT,2018,82500,25000,Petrol,Dealer,Automatic,First Owner
Maruti 800 AC,2007,3000,70000,Petrol,Individual,Manual,First Owner
Maruti Wagon R LXI Minor,2007,6750,50000,Petrol,Individual,Manual,First Owner
Hyundai Verna 1.6 SX,2012,30000,100000,Diesel,Individual,Manual,First Owner
Datsun RediGO T Option,2017,12500,46000,Petrol,Individual,Manual,First Owner
Honda Amaze VX i-DTEC,2014,22500,141000,Diesel,Individual,Manual,Second Owner
Maruti Alto LX BSIII,2007,7000,125000,Petrol,Individual,Manual,First Owner
Hyundai Xcent 1.2 Kappa S,2016,27500,25000,Petrol,Individual,Manual,First Owner
Tata Indigo Grand Petrol,2014,12000,60000,Petrol,Individual,Manual,Second Owner
Hyundai Creta 1.6 VTVT S,2015,42500,25000,Petrol,Individual,Manual,First Owner
Maruti Celerio Green VXI,2017,18250,78000,CNG,Individual,Manual,First Owner
Chevrolet Sail 1.2 Base,2015,13000,35000,Petrol,Individual,Manual,First Owner
Tata Indigo Grand Petrol,2014,12500,100000,Petrol,Individual,Manual,First Owner
Toyota Corolla Altis 1.8 VL CVT,2018,82500,25000,Petrol,Dealer,Automatic,First Owner
Maruti Ciaz VXi Plus,2015,29250,24000,Petrol,Dealer,Manual,First Owner
Hyundai Venue SX Opt Diesel,2019,59750,5000,Diesel,Dealer,Manual,First Owner
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,19500,33000,Diesel,Individual,Manual,Second Owner
Jaguar XF 2.2 Litre Luxury,2014,98249.95,28000,Diesel,Dealer,Automatic,First Owner
Mercedes-Benz New C-Class 220 CDI AT,2013,71250,59000,Diesel,Dealer,Automatic,First Owner
Maruti Vitara Brezza ZDi Plus AMT,2018,48750,4500,Diesel,Dealer,Automatic,First Owner
Audi Q5 2.0 TDI,2011,59500,175900,Diesel,Dealer,Automatic,First Owner
Honda City V MT,2018,46500,14500,Petrol,Dealer,Manual,First Owner
Tata Tigor 1.2 Revotron XT,2018,26250,15000,Petrol,Individual,Manual,First Owner
Audi A6 2.0 TDI  Design Edition,2013,86750,50000,Diesel,Dealer,Automatic,First Owner
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,68750,33800,Diesel,Dealer,Automatic,Second Owner
Skoda Superb Ambition 2.0 TDI CR AT,2011,22500,130400,Diesel,Dealer,Automatic,Second Owner
Toyota Corolla Altis G AT,2016,45000,50000,Petrol,Individual,Automatic,First Owner
Toyota Innova 2.5 G (Diesel) 7 Seater,2015,65000,80000,Diesel,Individual,Manual,First Owner
Jeep Compass 1.4 Sport Plus BSIV,2019,70000,10000,Petrol,Individual,Manual,First Owner
Mercedes-Benz E-Class E 200 CGI Elegance,2010,42500,119000,Petrol,Dealer,Automatic,First Owner
Hyundai i10 Magna 1.1L,2014,11499.95,60000,Petrol,Individual,Manual,Fourth & Above Owner
BMW 3 Series 320d Sport Line,2013,77500,75800,Diesel,Dealer,Automatic,Second Owner
